id,numero,familia,subfamilia,cuando_aplica,tipo,manual_ficha,tipificacion,causa_reclamo,proceso_resolucion,script_rrss,tiene_wizard
c1,1,Funcionamiento y Entorno de Local/CD,Juegos de azar,Cliente reclama que la agencia no le entrega el premio que ganó.,Reclamo,Agencia no paga premio (500509),500509,Agencia no paga premio,Crear un caso en HOLA,"Te comento que para poder cobrar el premio pendiente, debes dirigirte al local donde participaste en el juego de azar y solicitar que el personal SAC (Servicio de Atención al Cliente) te pueda apoyar con más información🤝.",0
c1,1,"Pagos, tarjetas y reembolsos",Compensación Mi Club,Cuando el cliente se comunique para solicitar mayor información por el estado de su compensación de pesos mi club.,Solicitud,Consulta por estado de compensación (500102),500102,Consulta por estado de compensación,Crear un caso en HOLA,"Compensación se envió a pagar:

Te comento que luego de revisar en sistema, tu compensación aparece como gestionada, y el monto estará visible en tu cuenta en 3 días hábiles🤝.

Compensación ya está transferida:

Te comento que tras revisar en sistema, visualizo que ya se procesó la carga, por lo que tu compensación ya está disponible en tu cuenta🙌.

Compensación no ha sido inyectada:

Indicación para el ejecutivo:

Aplica caso y script  RECLAMO <Devolución de Pesos Mi Club no abonada> (500108):",0
c1,1,Atención a clientes,Atención,Cliente entrega recomendación para mejorar el servicio o productos. No se debe usar para dejar registros de reclamos o felicitaciones.,Sugerencia,Sugerencias (1210000),1210000,Sugerencias,Cuando el cliente se comunique para emitir sugerencias referente a los locales o la atneción de los colaboradores.,"Gracias por tu comentario. Te comento que en Lider valoramos mucho a nuestros clientes y estamos abiertos a escuchar cualquier sugerencia que pueda ayudarnos a brindarles un mejor servicio. Para tenerlo en consideración, dejaré registro de lo que me acabas de indicar🖥️.",0
c2,2,Daños físicos y/o daños materiales,Daño físico,Cliente reclama haber sufrido un accidente que como consecuencia tiene un daño físico en su persona.,Reclamo,Accidente de cliente con daño físico (Caída/ Golpe/ Corte/ Quemadura) (161001)​,161001,Accidente de cliente con daño físico (Caída/ Golpe/ Corte/ Quemadura),"Crear un caso en HOLA 

Dejar todo el detalle que indica el cliente en la descripción del caso.","Espero que tengas una pronta recuperación🙌. Te comento que es necesario registrar lo sucedido. Por favor, ¿me podrías enviar tu Rut e indicar el local donde ocurrió el accidente para crear un caso en nuestro sistema? 🤔

(Respuesta cliente) 

Por favor, espérame un momento, ingresaré la información💻.

Indicación para el ejecutivo: Luego de ingresar la información responder a cliente lo siguiente:
De acuerdo a lo que me comentas, con todos los antecedentes disponibles, realizaré las gestiones correspondientes según nuestro protocolo interno.

Te estaremos contactando en un máximo de 2 semanas para responder a tu requerimiento🤝.",0
c2,2,Atención a clientes,Comunicación contact center,Cliente consulta por caso ya cerrado y se indica la respuesta o resolución de este. Si el caso consultado sigue abierto debes crear una insitencia,Consulta,"Consulta de resolución de caso cerrado 
(123093) - 
Revisar caso en HOLA",123093,Consulta de resolución caso cerrado,,"Si no tiene nada pendiente:

Gracias por la espera☺️. Revisé en nuestro sistema y actualmente no tienes casos abiertos que aparezcan pendientes☝️.

Caso abierto pendiente:

Gracias por la espera. Revisé en nuestro sistema y actualmente tienes el caso número XXXX abierto, que corresponde a *(MENCIONAR TIPO DE CAUSA)* ☝ y actualmente se encuentra en proceso de gestión. No te preocupes porque tenemos XXXX días  para resolver tu requerimiento y te avisaremos cuando tu caso haya finalizado🤝.

Caso cerrado:

Te informo que actualmente tu caso se encuentra cerrado y la resolución para este fue XXXX (DDD retiro de producto, etc)🤝.",0
c2,2,Sitios web y apps Walmart,Mi Cuenta,"Cliente solicita dar de baja su cuenta, ya sea Lider, Acuenta o Central Mayorista",Solicitud,"Eliminar Mi Cuenta Lider
(123085)",123085,Eliminar Mi Cuenta Lider APP,"Crear un caso en HOLA 

Eliminar cuenta - ServiceNow","Indicación para el ejecutivo: (Antes de pasar a eliminación de cuenta, consultar al cliente por qué quiere realizar la eliminación. Cualquier causa que esté relacionada a modificación de datos, debe ser gestionada por nuestro equipo)

Cliente hace alusión que no puede ingresar porque ya no tiene acceso al correo/no puede recuperar contraseña

Indicación para el ejecutivo: Dirigirse a script causa <Sitio web/App no me permite ingresar a Mi Cuenta> (10001010)

Cliente hace alusión que quiere crearse cuenta y rut ya está asociado

Indicación para el ejecutivo: Dirigirse a script causa <Sitio web/App indica que Mi Cuenta ya existe> (1000109)

Cliente quiere eliminar su cuenta:

Debo informarte que la eliminación de tu cuenta implica que al crearte otra nuevamente, pierdas el historial de tus compras ecommerce, no así tus pesos acumulados, ni dejarás de pertenecer al programa de Mi Club. Por lo tanto, si decides continuar con la solicitud, generaré un caso para su gestión. El plazo estimado de resolución es de 5 días🤝.",0
c3,3,Daños físicos y/o daños materiales,Daño material,Cliente reclama haber sufrido un incidente que tiene como consecuencia daños en sus pertenencias dentro de las instalaciones de Walmart.,Reclamo,Accidente de cliente con daño material (Daño a prendas/ Daño a accesorios/ Daño a Vehículo) (161002)​,161002,Accidente de cliente con daño material (Daño aprendas/ Daño a accesorios/ Daño a Vehículo)​,"Crear un caso en HOLA 

Dejar todo el detalle que indica el cliente en la descripción del caso.","Gracias por informarnos de lo sucedido. Te comento que es necesario registrar lo que indicas. Por favor, ¿me podrías enviar tu Rut e indicar el local donde ocurrió el accidente para crear un caso en nuestro sistema? 🙌

(Respuesta cliente) 

Por favor, espérame un momento, ingresaré la información💻.

Indicación para el ejecutivo: Luego de ingresar la información responder a cliente lo siguiente:

De acuerdo a lo que me comentas, con todos los antecedentes disponibles, realizaré las gestiones correspondientes de acuerdo a nuestro protocolo interno.

Le estaremos contactando en un máximo de 7 días hábiles🤝.",0
c3,3,"Pagos, tarjetas y reembolsos",Reembolso,Cliente desea conocer el estado de devolución de dinero el cual se encuentra dentro del plazo de reembolso o este ya está abonado en la cuenta,Consulta,Consulta estado Devolución de Dinero (190001),190001,Consulta estado devolución de dinero,"Ingresar a HOLA - ‘detalle de la compra’, - sección ‘Devoluciones de dinero’. - Estado de la devolución en la sección ‘Resumen de devoluciones’

*Si el monto de compra es menor a $1.000 se devolverá como pesos Mi club (excepto pagos con T Lider).","•DEVOLUCIONES OK:

Gracias por mantenerte en espera☺️. Luego de revisar tus datos en nuestro sistema, te comento que el estado de la devolución de tu dinero es: Realizada✅.

COMPRAS SOD, CATEX Y PUNTO DE COMPRA (PDC)

1.- Crédito y Débito (devolución es del tipo ‘Automático’):
La visualización de la devolución se mostrará en tu cuenta como “Lider.cl”🤝. (Si la devolución fue realizada a una tarjeta de débito de los bancos Indicar las glosas correspondientes a cada banco. Falabella, BancoEstado o BCI, la glosa será distinta)

**Recordatorio: Las glosas de estas entidades bancarias son las siguientes:
Banco Estado: “Regulariza compra nacional débito”
Banco Falabella: “Webpay”
Banco BCI: “Reversa de compra tarjeta de débito”

2.- Débito (devolución es del tipo ‘Manual’):
Te comento que la visualización de la devolución se mostrará en tu cuenta como “LATAM PAYMENT GROUP” o “PAGO PROVEEDORES 76.813.963-6”🤝.

3.- Crédito (devolución es de tipo """"Manual"""" Lider BCI y Transbank):
Te comento que la visualización de la devolución se mostrará descontado en el estado de cuenta de tu tarjeta.
En caso de PUNTO DE COMPRA, esta es vía transferencia a la cuenta bancaria registrada en tu cuenta💳. 

4.- Pesos mi club. (devolución es del tipo ‘Pesos Mi Club’):
Te comento que los $XXXXPesos Mi Club ya se encuentran abonados en tu cuenta y los puedes utilizar en cualquier local Lider, lider.cl  o LiderApp📲.

•DEVOLUCIÓN OK (SE VISUALIZA LA DEVOLUCIÓN EN HOLA (ESTADO REALIZADA):

Indicación para el ejecutivo: Han transcurrido 7 días hábiles desde la fecha de ingreso de la devolución y cliente insiste que su devolución NO está reflejada en su cuenta transcurrido 7 días hábiles.
Ingresar caso de <Devolución no abonada> revisa el script de no abonada""

•ESTADO DEVOLUCIÓN EN PROCESO 

1.- Dentro del plazo definido (estado ‘En Proceso’):

Gracias por mantenerte en espera. Luego de revisar tus datos en nuestro sistema, te comento que el estado de la devolución de tu dinero es: En Proceso, y la devolución de tu dinero se podrá ver reflejada dentro del día o en un plazo máximo de 7 días hábiles🤝.

2.- Fuera de plazo

Indicación para el ejecutivo: Ingresar caso de <Devolución no abonada>, con resolución <devolución de dinero>

Gracias por mantenerte en espera. Luego de revisar tus datos en nuestro sistema, veo que el estado de la devolución de tu dinero sigue en proceso, por lo que ingresaré otro caso para que sea abordado a la brevedad. El área especializada se pondrá en contacto contigo para entregar detalles de tu caso🤝.

•NO APLICA DEVOLUCIÓN DE DINERO (‘NO EXISTEN DEVOLUCIONES’):

Gracias por mantenerte en espera. Luego de revisar tus datos en nuestro sistema, te comento que el caso ingresado no aplicó para generar una devolución de dinero debido a (indicar lo que dice sistema)☝️.

•NO EXISTE CASO ASOCIADO NI DEVOLUCIÓN (‘NO EXISTEN DEVOLUCIONES’ - SIN CASO PREVIO)

Indicación para el ejecutivo: Ingresar caso de <Devolución no abonada> sólo, si el cliente NO ha recibido su devolución de dinero y esta corresponde a un ""Quiebre y/o sustitución de algún producto"":

Te comento que no se visualiza en nuestro sistema la información requerida. Es por eso que en base a lo que me mencionas, estoy ingresando un caso para su gestión.  La devolución de tu dinero se podrá ver reflejada dentro del día o en un plazo máximo de 7 días hábiles🤝.",0
c3,3,"Pagos, tarjetas y reembolsos","Boleta, factura y/o nota de crédito","Cliente solicita entregar/enviar documento tributario (boleta, factura o NC) asociado a la compra",Solicitud,"Envío de boleta, factura y/o nota de crédito 
(1200003)",1200003,"Envío de boleta, factura y/o nota de crédito","Crear un caso en HOLA 

Compra E-commerce: Resolución según correponda: ""Se envía documento al cliente"" / ""No se pudo enviar documento""","Entiendo🙌. Necesito que por favor me indiques, ¿la boleta que necesitas corresponde a una compra E-commerce o de sala?  🤔

(Respuesta cliente)  

Compra proviene de E-commerce:
Comprendo, ¿la compra realizada fue con despacho a domicilio (Home Delivery) o con retiro en tienda (Pickup)?  🧐

(Respuesta cliente)

¿Recuerdas la fecha de entrega de la compra y/o el retiro?🤔  

(Respuesta cliente)  

1- SE ENCONTRÓ LA BOLETA EN HOLA (SOD – CATEX - MKTP (en el escenario de MKTP es sólo para WFS (vendido por MKTP y entregado por Lider):
Te comento que encontré la boleta en el sistema🙌. Por favor, ¿me puedes confirmar su e-mail para hacer el envío de esta? 🧐 

(Respuesta cliente)  

Te informo que ya se realizó la actualización de tu e-mail en el sistema, junto con enviarte la boleta a tu correo🤝.  

2- NO ENCONTRÓ LA BOLETA EN HOLA (SOD – CATEX - MKTP (en el escenario de MKTP es sólo para WFS (vendido por MKTP y entregado por Lider):
Te comento que no encuentro la boleta en el sistema, por lo que debo registrar este caso para poder enviártela.  

Venta MKTP

1. Es vendido por MKTP y entregado por MKTP:
Te comento que la boleta de tu compra corresponde a productos adquiridos a través de nuestro Marketplace, un espacio virtual de venta de productos de terceros que se comercializa a través de nuestra plataforma web. Es importante informarte que las boletas asociadas a ventas a través de Marketplace siempre son enviadas por el proveedor del producto de forma física, junto al producto empacado. Debido a este motivo, no contamos con la boleta de esta compra en el sistema💻.   

2. Vendido por MKTP y enviado por Internacional:
Te comento que la boleta de tu compra corresponde a productos adquiridos a través de nuestro Marketplace Internacional, un espacio virtual de venta de productos de terceros que se comercializa a través de nuestra plataforma web. Es importante informarte que las boletas generadas por un seller que no se encuentra basado en Chile y las regulaciones de cada país pueden variar, la boleta no es válida en Chile🙌.  

1.Si cliente insiste en que su boleta no aparece o no venía con el producto, deberá realizar las siguientes preguntas:
Me podrías por favor confirmar, ¿para qué requieres la boleta?  🤔

(Respuesta cliente)  

 **Si cliente indica que necesita su boleta para poder hacer uso de garantías o solicitar devolución de dinero:
Te comento que para avanzar con tu solicitud no necesitas la boleta, solo entregar el número de orden de compra para que puedas gestionar lo solicitado🙌. 

(Respuesta cliente)  

**Seguir el procedimiento actual de MKTP “Proceso de devolución MKTP” y se realiza la gestión a través de módulo post venta, informarle lo siguiente:
Te comento que debo registrar este caso para gestionar el retiro de tu producto y la devolución de tu dinero. La devolución de tu dinero será abonada dentro de un plazo máximo de 7 días hábiles una vez realizado el retiro de tu producto desde el domicilio🤝. 

2. Si cliente insiste en que de todas formas él quiere su boleta, a pesar de las preguntas del ejecutivo
a. Es vendido por MKTP y entregado por MKTP:
Como te comenté, las boletas asociadas a ventas a través de Marketplace siempre las envía el proveedor de forma física junto al producto empacado. Debido a este motivo, no contamos con la boleta de esta compra en el sistema. Lo que sí puedo hacer es entregarte el número del proveedor para que puedas contactarlo directamente. Por favor, necesito saber el modelo y marca del producto para entregarte los datos correspondientes💻.   

b. Es vendido por MKTP y enviado por Internacional:
Como te comenté, la boleta de tu compra corresponde a productos adquiridos a través de nuestro Marketplace Internacional, por tanto, no contamos con ella en nuestros sistemas.  
De todas maneras, debo informarte que registraré este caso acerca de lo que revisamos durante esta atención💻. 

**Si cliente entrega información del producto y SI quiere contactar directo al seller nacional debemos buscar el número del seller, el cual se visualiza como “Local del vendedor es” En el PBI, buscar la información del seller en el “Buscador por Parner ID”, e indica al cliente el nombre de fantasía del Seller, correo y número de teléfono, ingresar el caso en HOLA con la siguiente causa “Envío de boleta, factura y/o nota de crédito” (1200003) y con la resolución: Se entrega datos del proveedor y/o seller al cliente:

a. APARECE LA INFORMACIÓN DEL SELLER/ PROVEEDOR, Cliente SI quiere contactarlo:
Te comento que el nombre del proveedor es XXXX, su correo es XXXX y su número de contacto es XXXXXXXX.    
De todas maneras, debo informarte que registraré este caso acerca de lo que revisamos durante esta atención💻. 

b. APARECE LA INFORMACIÓN DEL SELLER/ PROVEEDOR, pero cliente NO quiere contactarlo (Sólo aplica para Seller nacional) 
**Cliente NO quiere contactar directo al seller nacional, ya que para internacional no contamos con la boleta. Si es un seller nacional debemos buscar el número del seller, el cual se visualiza como “Local del vendedor es” En el PBI, buscar la información del seller en el “Buscador por Parner ID”, e indica al cliente el nombre de fantasía del Seller, correo y número de teléfono, ingresar el caso en HOLA con la siguiente causa “Envío de boleta, factura y/o nota de crédito” (1200003) y con la resolución: Cliente sólo desea gestión de Walmart:
Te comento que debo registrar este caso para que te podamos enviar la boleta. El plazo de resolución es de 3 días hábiles🤝. 

c. NO APARECE LA INFORMACIÓN DEL SELLER / PROVEEDOR (Sólo aplica para compras seller nacionales)
**En el caso que, un proveedor NO aparezca en el PBI, se deberá ingresar un caso en HOLA, con la causa: “Envío de boleta, factura y/o nota de crédito” (1200003) y con la resolución: “No se encuentra información del proveedor y/o seller”, y en la descripción del caso, deberá dejar la siguiente Glosa: No hay información del seller en el consolidado MKTP y continuar detallando “El nombre del proveedor es: xxxx”:
Te comento que no se encuentró la información del proveedor en nuestro sistema, dado lo anterior, debo registrar este caso para que te podamos enviar la boleta. El plazo de resolución es de 3 días hábiles🤝.",0
c4,4,Daños físicos y/o daños materiales,Daño físico,Cliente reclama haber sufrido daño o perjuicio producto del consumo o uso de un producto,Reclamo,Accidente de cliente posterior a la compra con daño físico (Elementos extraños en alimentos/ Intoxicación/ Fallas técnicas con daño) (161003),161003,Accidente de cliente posterior a la compra con daño físico (Elementos extraños en alimentos/ Intoxicación/ Fallas técnicas con daño),"Crear un caso en HOLA 

Dejar todo el detalle que indica el cliente en la descripción del caso.","Espero tengas una pronta recuperación. Te comento que es necesario registrar lo sucedido. Por favor, ¿me podrías enviar tu Rut e indicar el local donde ocurrió el accidente para crear un caso en el sistema?  🙌

(Respuesta cliente) 

Por favor, espérame un momento, ingresaré la información💻.

Indicación para el ejecutivo: Luego de ingresar la información responder a cliente lo siguiente:
Es importante mencionar que será necesaria la documentación médica que acredite el hecho que me estás indicando y así activar el protocolo interno.

Te estaremos contactando en un máximo de 7 días hábiles para informar el resultado de la investigación🤝.",0
